"Mes","A�o","Estado Origen","Estado Destino","Ciudad Origen","Ciudad Destino","Compañia Transportadora","Tipo de Transporte","Tipo de combustible usado","Tipo de Movimiento","Costo(Pesos)","Carga Maxima(TON)","Rendimiento por litro","Costo del diesel","Tiempo en Transito"
"Noviembre",2014,"CO","TM","RAMOS ARIZPE","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$18840.00",22,2.55,"$13.83",6
"Noviembre",2014,"CH","CH","CHIHUAHUA","CIUDAD JUAREZ","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$10371.90",22,2.55,"$13.83",6
"Noviembre",2014,"CH","CH","CHIHUAHUA","CIUDAD JUAREZ","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$11232.00",22,2.55,"$13.83",6
"Noviembre",2014,"TM","SP","NUEVO LAREDO","SAN LUIS POTOSI","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$11400.00",22,2.55,"$13.83",15
"Noviembre",2014,"SP","TM","SAN LUIS POTOSI","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$11400.00",22,2.55,"$13.83",16
"Noviembre",2014,"SP","JC","SAN LUIS POTOSI","GUADALAJARA","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$16416.00",22,2.55,"$13.83",6
"Noviembre",2014,"CO","TM","RAMOS ARIZPE","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$6739.20",22,2.55,"$13.83",6
"Noviembre",2014,"NL","TM","APODACA","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$9780.00",22,2.55,"$13.83",4
"Noviembre",2014,"TM","CO","NUEVO LAREDO","RAMOS ARIZPE","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$6912.00",22,2.55,"$13.83",6
"Noviembre",2014,"JC","TM","EL SALTO","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$20736.00",22,2.55,"$13.83",20
"Noviembre",2014,"GT","GT","APASEO EL GRANDE","SILAO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$4164.00",22,2.55,"$13.83",3
"Noviembre",2014,"CO","TM","RAMOS ARIZPE","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$6588.00",22,2.55,"$13.83",6
"Noviembre",2014,"CH","GT","CIUDAD JUAREZ","SILAO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$40137.51",22,2.55,"$13.83",30
"Noviembre",2014,"CH","CH","CIUDAD JUAREZ","DELICIAS","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$7603.20",22,2.55,"$13.83",7
"Noviembre",2014,"CH","CH","DELICIAS","CIUDAD JUAREZ","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$7603.20",22,2.55,"$13.83",7
"Noviembre",2014,"SP","SP","SAN LUIS POTOSI","SAN LUIS POTOSI","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$2640.00",22,2.55,"$13.83",1
"Noviembre",2014,"SP","QO","SAN LUIS POTOSI","QUERETARO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$6720.00",22,2.55,"$13.83",6
"Noviembre",2014,"SP","TM","SAN LUIS POTOSI","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$24917.76",22,2.55,"$13.83",16
"Noviembre",2014,"CH","CH","CHIHUAHUA","CIUDAD JUAREZ","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$15897.60",22,2.55,"$13.83",6
"Noviembre",2014,"CO","GT","RAMOS ARIZPE","SILAO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$15600.00",22,2.55,"$13.83",12
"Noviembre",2014,"BJ","CH","TIJUANA","CIUDAD JUAREZ","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$53568.00",22,2.55,"$13.83",28
"Noviembre",2014,"TM","SP","NUEVO LAREDO","SAN LUIS POTOSI","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$11272.08",22,2.55,"$13.83",15
"Noviembre",2014,"CH","CH","CHIHUAHUA","CHIHUAHUA","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$1440.00",22,2.55,"$13.83",1
"Noviembre",2014,"QO","AG","QUERETARO","AGUASCALIENTES","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$11400.00",22,2.55,"$13.83",6
"Noviembre",2014,"SP","AG","SAN LUIS POTOSI","AGUASCALIENTES","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$6720.00",22,2.55,"$13.83",3
"Noviembre",2014,"SP","SP","SAN LUIS POTOSI","VILLA DE REYES","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$1765.59",22,2.55,"$13.83",1
"Noviembre",2014,"TM","QO","NUEVO LAREDO","QUERETARO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$31104.00",22,2.55,"$13.83",16
"Noviembre",2014,"SP","GT","VILLA DE REYES","SILAO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$5880.00",22,2.55,"$13.83",4
"Noviembre",2014,"SP","NL","VILLA DE REYES","MONTERREY","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$10800.00",22,2.55,"$13.83",9
"Noviembre",2014,"SP","JC","VILLA DE REYES","GUADALAJARA","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$14400.00",22,2.55,"$13.83",9
"Noviembre",2014,"SP","CH","VILLA DE REYES","CIUDAD JUAREZ","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$42600.00",22,2.55,"$13.83",24
"Noviembre",2014,"SP","SP","VILLA DE REYES","SAN LUIS POTOSI","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$2760.00",22,2.55,"$13.83",1
"Noviembre",2014,"CO","TM","TORREON","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$16416.00",22,2.55,"$13.83",10
"Noviembre",2014,"QO","TM","EL MARQUES","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$29376.00",22,2.55,"$13.83",16
"Noviembre",2014,"TM","GT","NUEVO LAREDO","SILAO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$27648.00",22,2.55,"$13.83",20
"Noviembre",2014,"AG","TM","AGUASCALIENTES","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$20736.00",22,2.55,"$13.83",14
"Noviembre",2014,"TM","GT","NUEVO LAREDO","SILAO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$13478.40",22,2.55,"$13.83",20
"Noviembre",2014,"SP","TM","SAN LUIS POTOSI","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$21600.00",22,2.55,"$13.83",16
"Noviembre",2014,"SP","SP","SAN LUIS POTOSI","SAN LUIS POTOSI","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$1728.00",22,2.55,"$13.83",1
"Noviembre",2014,"PL","TM","CUAUTLANCINGO","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$41040.00",22,2.55,"$13.83",20
"Noviembre",2014,"GT","TM","SILAO","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$26784.00",22,2.55,"$13.83",20
"Noviembre",2014,"NL","TM","APODACA","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$10108.80",22,2.55,"$13.83",4
"Noviembre",2014,"CO","TM","TORREON","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$18144.00",22,2.55,"$13.83",10
"Noviembre",2014,"TM","CO","NUEVO LAREDO","RAMOS ARIZPE","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$10987.69",22,2.55,"$13.83",6
"Noviembre",2014,"EM","SP","TENANGO DEL VALLE","VILLA DE REYES","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$14860.80",22,2.55,"$13.83",6
"Noviembre",2014,"EM","TM","TOLUCA","NUEVO LAREDO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$32832.00",22,2.55,"$13.83",24
"Noviembre",2014,"SP","SP","SAN LUIS POTOSI","VILLA DE REYES","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$2576.39",22,2.55,"$13.83",1
"Noviembre",2014,"BJ","CH","MEXICALI","CHIHUAHUA","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Redondo","$41735.46",22,2.55,"$13.83",28
"Octubre",2014,"NL","SP","APODACA","SAN LUIS POTOSI","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$10780.00",22,2.55,"$13.72",8
"Octubre",2014,"TM","SP","NUEVO LAREDO","SAN LUIS POTOSI","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$10780.00",22,2.55,"$13.72",15
"Octubre",2014,"TM","DF","NUEVO LAREDO","CIUDAD DE MEXICO","TRANSPORTES LARMEX  S.A. DE C.V.","48FT/53FT","Diesel ","Sencillo","$16380.00",22,2.55,"$13.72",26
