Mes,A¤o,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compa¤ia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito,,
Agosto,2015,QO,DF,QUERETARO,CIUDAD DE MEXICO,FLETES Y TRANSPORTES RUIZ,THORTON,Diesel,Sencillo,4750,15,3,12.24,4,,
Agosto,2015,QO,GT,QUERETARO,CELAYA,ARTURO PAYAN AGUILAR,THORTON,Diesel,Sencillo,2800,15,3,12.24,1,,
Agosto,2015,QO,EM,QUERETARO,TOLUCA,ARTURO PAYAN AGUILAR,THORTON,Diesel,Sencillo,3700,15,3,12.24,3.5,,
Agosto,2015,QO,EM,QUERETARO,TOLUCA,ARTURO PAYAN AGUILAR,THORTON,Diesel,Sencillo,3750,15,3,12.24,3.5,,
Agosto,2015,QO,EM,QUERETARO,TOLUCA,ARTURO PAYAN AGUILAR,THORTON,Diesel,Sencillo,3800,15,3,12.24,3.5,,
Agosto,2015,QO,MS,QUERETARO,CUERNAVACA,ARTURO PAYAN AGUILAR,THORTON,Diesel,Sencillo,4900,15,3,12.24,5,,
Agosto,2015,QO,QO,QUERETARO,QUERETARO,ARTURO PAYAN AGUILAR,THORTON,Diesel,Sencillo,1350,15,3,12.24,1,,
Agosto,2015,QO,TM,QUERETARO,NUEVO LAREDO,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,10400,15,3,12.24,14,,
Agosto,2015,QO,AG,QUERETARO,AGUASCALIENTES,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,7500,15,3,12.24,4.5,,
Agosto,2015,QO,CH,QUERETARO,CHIHUAHUA,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,20500,15,3,12.24,25,,
Agosto,2015,QO,JC,QUERETARO,GUADALAJARA,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,6000,15,3,12.24,5.5,,
Agosto,2015,QO,SO,QUERETARO,HERMOSILLO,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,24350,15,3,12.24,38,,
Agosto,2015,QO,MS,QUERETARO,CUERNAVACA,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,5200,15,3,12.24,5,,
Agosto,2015,QO,BJ,QUERETARO,MEXICALI,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,48000,15,3,12.24,50,,
Agosto,2015,QO,DF,QUERETARO,CIUDAD DE MEXICO,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,5200,15,3,12.24,4,,
Agosto,2015,QO,PL,QUERETARO,PUEBLA,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,6150,15,3,12.24,5.5,,
Agosto,2015,QO,CO,QUERETARO,RAMOS ARIZPE,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,7900,15,3,12.24,10,,
Agosto,2015,QO,SP,QUERETARO,SAN LUIS POTOSI,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,4200,15,3,12.24,3,,
Agosto,2015,QO,SP,QUERETARO,SAN LUIS POTOSI,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,4700,15,3,12.24,3,,
Agosto,2015,QO,AG,QUERETARO,AGUASCALIENTES,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,5800,15,3,12.24,4.5,,
Agosto,2015,QO,CO,QUERETARO,RAMOS ARIZPE,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,8000,15,3,12.24,10,,
Agosto,2015,QO,CH,QUERETARO,CHIHUAHUA,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,19300,15,3,12.24,25,,
