Mes,A_o,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compa_ia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito,,
Julio,2015,NL,CO,MONTERREY,RAMOS ARIZPE,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,2500,10,3.5,12.24,1.5,,
Julio,2015,GT,CO,IRAPUATO,RAMOS ARIZPE,TRANSPORTES REISEN,48FT/53FT,Diesel ,Sencillo,8500,22,2.65,12.24,9,,
Julio,2015,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES REISEN,3.5 TON,,Sencillo,450,3.5,,,1,,
Julio,2015,NL,CO,MONTERREY,RAMOS ARIZPE,TRANSPORTES REISEN,3.5 TON,,Sencillo,2950,3.5,,,2,,
Julio,2015,CO,CH,RAMOS ARIZPE,CIUDAD JUAREZ,TRANSPORTES REISEN,3.5 TON,,Sencillo,14000,3.5,,,22,,
Julio,2015,CO,NL,RAMOS ARIZPE,MONTERREY,TRANSPORTES REISEN,3.5 TON,,Sencillo,1560,3.5,,,1,,
Julio,2015,CO,CH,RAMOS ARIZPE,CIUDAD JUAREZ,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,18200,10,3.5,12.24,23,,
Julio,2015,CO,NL,RAMOS ARIZPE,MONTERREY,TRANSPORTES REISEN,3.5 TON,,Sencillo,1300,3.5,,,1,,
Julio,2015,CO,NL,RAMOS ARIZPE,MONTERREY,TRANSPORTES REISEN,3.5 TON,,Sencillo,1500,3.5,,,1,,
Julio,2015,NL,NL,MONTERREY,MONTERREY,TRANSPORTES REISEN,RABON,Diesel ,Redondo,2600,10,3.5,12.24,1,,
Julio,2015,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES REISEN,3.5 TON,,Sencillo,900,3.5,,,1,,
Julio,2015,NL,CO,MONTERREY,RAMOS ARIZPE,TRANSPORTES REISEN,3.5 TON,,Sencillo,2340,3.5,,,2,,
Julio,2015,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES REISEN,48FT/53FT,Diesel ,Redondo,2500,22,2.65,12.24,1,,
Julio,2015,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,800,10,3.5,12.24,1,,
Julio,2015,CO,QO,RAMOS ARIZPE,QUERETARO,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,12000,10,3.5,12.24,10,,
Julio,2015,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,1000,10,3.5,12.24,1,,
Julio,2015,NL,NL,MONTERREY,MONTERREY,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,1400,10,3.5,12.24,1,,
Julio,2015,NL,CO,MONTERREY,RAMOS ARIZPE,TRANSPORTES REISEN,RABON,Diesel ,Redondo,2560,10,3.5,12.24,1.5,,
Julio,2015,GT,CO,IRAPUATO,RAMOS ARIZPE,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,10000,10,3.5,12.24,10,,
Julio,2015,CO,SR,RAMOS ARIZPE,HERMOSILLO,TRANSPORTES REISEN,48FT/53FT,Diesel ,Sencillo,35000,22,2.65,12.24,30,,
Julio,2015,CO,NL,RAMOS ARIZPE,MONTERREY,TRANSPORTES REISEN,3.5 TON,,Sencillo,2340,3.5,,,1,,
Julio,2015,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES REISEN,3.5 TON,,Sencillo,400,3.5,,,1,,
Julio,2015,NL,CO,MONTERREY,RAMOS ARIZPE,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,800,10,3.5,12.24,1.5,,
Julio,2015,GT,CO,SILAO,RAMOS ARIZPE,TRANSPORTES REISEN,48FT/53FT,Diesel ,Sencillo,10000,22,2.65,12.24,12,,
Julio,2015,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES REISEN,3.5 TON,,Sencillo,720,3.5,,,1,,
Julio,2015,NL,NL,MONTERREY,MONTERREY,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,1400,10,3.5,12.24,1,,
Julio,2015,NL,CO,MONTERREY,RAMOS ARIZPE,TRANSPORTES REISEN,RABON,Diesel ,Redondo,2560,10,3.5,12.24,1.5,,
Julio,2015,CO,SR,RAMOS ARIZPE,HERMOSILLO,TRANSPORTES REISEN,3.5 TON,,Sencillo,28320,3.5,,,30,,
Julio,2015,CO,SR,RAMOS ARIZPE,HERMOSILLO,TRANSPORTES REISEN,RABON,Diesel ,sencillo,25000,10,3.5,12.24,34,,
