Mes,A�o,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compa�ia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito
Septiembre,2015,AG,GT,AGUASCALIENTES,SILAO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,4261,22,2.65,12.24,3
Septiembre,2015,AG,GT,AGUASCALIENTES,SILAO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,7450,22,2.65,12.24,3
Septiembre,2015,AG,GT,AGUASCALIENTES,SILAO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,6500,22,2.65,12.24,3
Septiembre,2015,AG,GT,AGUASCALIENTES,SILAO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,7200,22,2.65,12.24,3
Septiembre,2015,AG,GT,AGUASCALIENTES,SILAO,CARRIER 1,48FT/53FT,Diesel ,Redondo,7500,22,2.65,12.24,3
Septiembre,2015,AG,GT,AGUASCALIENTES,SILAO,CARRIER 2,48FT/53FT,Diesel ,Redondo,6600,22,2.65,12.24,3
Septiembre,2015,AG,GT,AGUASCALIENTES,SILAO,CARRIER 3,48FT/53FT,Diesel ,Redondo,6800,22,2.65,12.24,3
Septiembre,2015,AG,NL,AGUASCALIENTES,MONTERREY,CARRIER 1,48FT/53FT,Diesel ,Redondo,20000,22,2.65,12.24,10
Septiembre,2015,AG,NL,AGUASCALIENTES,MONTERREY,CARRIER 2,48FT/53FT,Diesel ,Redondo,21500,22,2.65,12.24,10
Septiembre,2015,AG,NL,AGUASCALIENTES,MONTERREY,CARRIER 1,48FT/53FT,Diesel ,Sencillo,10000,22,2.65,12.24,10
Septiembre,2015,AG,NL,AGUASCALIENTES,MONTERREY,CARRIER 2,48FT/53FT,Diesel ,Sencillo,10500,22,2.65,12.24,10
Septiembre,2015,AG,NL,AGUASCALIENTES,MONTERREY,CARRIER 3,48FT/53FT,Diesel ,Sencillo,12000,22,2.65,12.24,10
Septiembre,2015,AG,PL,AGUASCALIENTES,PUEBLA,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,22500,22,2.65,12.24,12
Septiembre,2015,AG,SP,AGUASCALIENTES,SAN LUIS POTOSI,CARRIER 8,48FT/53FT,Diesel ,Redondo,8000,22,2.65,12.24,4
Septiembre,2015,AG,SP,AGUASCALIENTES,SAN LUIS POTOSI,CARRIER 1,48FT/53FT,Diesel ,Sencillo,6000,22,2.65,12.24,4
Septiembre,2015,AG,TM,AGUASCALIENTES,NUEVO LAREDO,CARRIER 1,48FT/53FT,Diesel ,Sencillo,9700,22,2.65,12.24,14
Septiembre,2015,AG,TM,AGUASCALIENTES,NUEVO LAREDO,CARRIER 2,48FT/53FT,Diesel ,Sencillo,10300,22,2.65,12.24,14
Septiembre,2015,AG,TM,AGUASCALIENTES,NUEVO LAREDO,CARRIER 3,48FT/53FT,Diesel ,Sencillo,11000,22,2.65,12.24,14
Septiembre,2015,AG,TM,AGUASCALIENTES,NUEVO LAREDO,CARRIER 4,48FT/53FT,Diesel ,Sencillo,9350,22,2.65,12.24,14
Septiembre,2015,AG,TM,AGUASCALIENTES,NUEVO LAREDO,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,18377885,22,2.65,12.24,14
Septiembre,2015,AG,TM,AGUASCALIENTES,NUEVO LAREDO,CARRIER 1,48FT/53FT,Diesel ,Redondo,25575,22,2.65,12.24,14
Septiembre,2015,AG,TM,AGUASCALIENTES,NUEVO LAREDO,CARRIER 5,48FT/53FT,Diesel ,Sencillo,13000,22,2.65,12.24,14
Septiembre,2015,AG,CO,AGUASCALIENTES,RAMOS ARIZPE,CARRIER 1,3.5 TON,,Sencillo,6292,3.5,,,6
Septiembre,2015,BJ,CH,MEXICALI,CIUDAD JUAREZ,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,38750,22,2.65,12.24,56
Septiembre,2015,BJ,CH,MEXICALI,CIUDAD JUAREZ,TRANSPORTES LARMEX S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,31000,22,2.65,12.24,56
